Item,Description,Year,Amount
A-1100,Basic salary,commitment 2010,5336680
A-1100,Basic salary,payment 2010,5336680
A-1100,Basic salary,2011 N3,1.1105E7
A-1100,Basic salary,2012,1.1E7
A-1100,Basic salary,2012 Draft,1.1E7
A-1101,Family allowances,commitment 2010,874697
A-1101,Family allowances,payment 2010,874697
A-1101,Family allowances,2011 N3,1093000
A-1101,Family allowances,2012,1100000
A-1101,Family allowances,2012 Draft,1100000
A-1102,Expatriation and foreign-residence allowances,commitment 2010,1197793
A-1102,Expatriation and foreign-residence allowances,payment 2010,1197793
A-1102,Expatriation and foreign-residence allowances,2011 N3,1428000
A-1102,Expatriation and foreign-residence allowances,2012,1526000
A-1102,Expatriation and foreign-residence allowances,2012 Draft,1526000
A-1111,Contract staff,commitment 2010,1940000
A-1111,Contract staff,payment 2010,1935994
A-1111,Contract staff,2011 N3,2961000
A-1111,Contract staff,2012,2750000
A-1111,Contract staff,2012 Draft,2750000
A-1112,Seconded national experts,commitment 2010,3531050
A-1112,Seconded national experts,payment 2010,3488252
A-1112,Seconded national experts,2011 N3,4061000
A-1112,Seconded national experts,2012,3940000
A-1112,Seconded national experts,2012 Draft,3940000
A-1113,Special advisers,2011 N3,20000
A-1130,Insurance against sickness,commitment 2010,314743
A-1130,Insurance against sickness,payment 2010,314743
A-1130,Insurance against sickness,2011 N3,385000
A-1130,Insurance against sickness,2012,412000
A-1130,Insurance against sickness,2012 Draft,412000
A-1131,Insurance against accidents and occupational disea,commitment 2010,65679
A-1131,Insurance against accidents and occupational disea,payment 2010,65679
A-1131,Insurance against accidents and occupational disea,2011 N3,81000
A-1131,Insurance against accidents and occupational disea,2012,90000
A-1131,Insurance against accidents and occupational disea,2012 Draft,90000
A-1132,Insurance against unemployment,commitment 2010,123214
A-1132,Insurance against unemployment,payment 2010,123214
A-1132,Insurance against unemployment,2011 N3,152000
A-1132,Insurance against unemployment,2012,160000
A-1132,Insurance against unemployment,2012 Draft,160000
A-1140,Childbirth and death allowances and grants,commitment 2010,1586
A-1140,Childbirth and death allowances and grants,payment 2010,1586
A-1140,Childbirth and death allowances and grants,2011 N3,1000
A-1140,Childbirth and death allowances and grants,2012,5000
A-1140,Childbirth and death allowances and grants,2012 Draft,5000
A-1141,Travel expenses for annual leave,commitment 2010,201934
A-1141,Travel expenses for annual leave,payment 2010,201934
A-1141,Travel expenses for annual leave,2011 N3,265000
A-1141,Travel expenses for annual leave,2012,260000
A-1141,Travel expenses for annual leave,2012 Draft,260000
A-1150,Overtime,commitment 2010,10736
A-1150,Overtime,payment 2010,10736
A-1150,Overtime,2011 N3,20000
A-1150,Overtime,2012,12000
A-1150,Overtime,2012 Draft,12000
A-1180,Travel expenses on taking up duties and at end of,commitment 2010,8850
A-1180,Travel expenses on taking up duties and at end of,payment 2010,6642
A-1180,Travel expenses on taking up duties and at end of,2011 N3,12000
A-1180,Travel expenses on taking up duties and at end of,2012,3000
A-1180,Travel expenses on taking up duties and at end of,2012 Draft,3000
A-1181,Installation resettlement and transfer allowances,commitment 2010,231229
A-1181,Installation resettlement and transfer allowances,payment 2010,221229
A-1181,Installation resettlement and transfer allowances,2011 N3,101000
A-1181,Installation resettlement and transfer allowances,2012,50000
A-1181,Installation resettlement and transfer allowances,2012 Draft,50000
A-1182,Removal expenses for temporary agents,commitment 2010,54582
A-1182,Removal expenses for temporary agents,payment 2010,44582
A-1182,Removal expenses for temporary agents,2011 N3,100000
A-1182,Removal expenses for temporary agents,2012,30000
A-1182,Removal expenses for temporary agents,2012 Draft,30000
A-1183,Temporary daily subsistence allowances for tempora,commitment 2010,120451
A-1183,Temporary daily subsistence allowances for tempora,payment 2010,116951
