Item,Description,Year,Amount
A110,Temporary staff holding a post provided for in the establishment plan,2005,936000
A110,Temporary staff holding a post provided for in the establishment plan,2006,911000
A110,Temporary staff holding a post provided for in the establishment plan,2007,3573000
A110,Temporary staff holding a post provided for in the establishment plan,2007 N1,4205000
A110,Temporary staff holding a post provided for in the establishment plan,2007 N2,4205000
A111,Other staff,2005,612000
A111,Other staff,2006,2682400
A111,Other staff,2007,2352500
A111,Other staff,2007 N1,3494500
A111,Other staff,2007 N2,3494500
A113,Employer's social security contributions for temporary agents,2006,44900
A113,Employer's social security contributions for temporary agents,2007,165000
A113,Employer's social security contributions for temporary agents,2007 N1,192000
A113,Employer's social security contributions for temporary agents,2007 N2,192000
A114,Miscellaneous allowances and grants for temporary agents,2006,14200
A114,Miscellaneous allowances and grants for temporary agents,2007,69000
A114,Miscellaneous allowances and grants for temporary agents,2007 N1,143000
A114,Miscellaneous allowances and grants for temporary agents,2007 N2,143000
A118,Allowances and expenses on entering and leaving the service and on transfer,2006,381000
A118,Allowances and expenses on entering and leaving the service and on transfer,2007,303000
A118,Allowances and expenses on entering and leaving the service and on transfer,2007 N1,780000
A118,Allowances and expenses on entering and leaving the service and on transfer,2007 N2,780000
A119,Salary weightings,2006,-163000
A119,Salary weightings,2007,-441000
A119,Salary weightings,2007 N1,-593000
A119,Salary weightings,2007 N2,-593000
A120,Recruitment,2005,150000
A120,Recruitment,2006,79000
A120,Recruitment,2007,32500
A120,Recruitment,2007 N1,225000
A120,Recruitment,2007 N2,225000
A130,Administrative missions,2005,19200
A130,Administrative missions,2006,275000
A130,Administrative missions,2007,290000
A130,Administrative missions,2007 N1,290000
A130,Administrative missions,2007 N2,290000
A141,Medical service,2006,1500
A141,Medical service,2007,15000
A141,Medical service,2007 N1,15000
A141,Medical service,2007 N2,15000
A143,Other expenditure,2006,1000
A143,Other expenditure,2007,1000
A143,Other expenditure,2007 N1,1000
A143,Other expenditure,2007 N2,1000
A150,Training and information of staff,2006,25000
A150,Training and information of staff,2007,125000
A150,Training and information of staff,2007 N1,180000
A150,Training and information of staff,2007 N2,180000
A151,Supplementary services,2006,403000
A151,Supplementary services,2007,356000
A151,Supplementary services,2007 N1,371000
A151,Supplementary services,2007 N2,3.7100027E7
A161,Social events,2006,10000
A161,Social events,2007,14000
A161,Social events,2007 N1,24000
A161,Social events,2007 N2,24000
A170,Entertainment and representation expenses,2005,5500
A170,Entertainment and representation expenses,2006,35000
A170,Entertainment and representation expenses,2007,45000
A170,Entertainment and representation expenses,2007 N1,70000
A170,Entertainment and representation expenses,2007 N2,70000
A200,Rent,2007,900000
A200,Rent,2007 N1,1150000
A200,Rent,2007 N2,1150000
A201,Insurance,2005,3000
A201,Insurance,2006,5500
A201,Insurance,2007,5500
A201,Insurance,2007 N1,5500
A202,"Water, gas, electricity and heating",2006,10000
A202,"Water, gas, electricity and heating",2007,18000
A202,"Water, gas, electricity and heating",2007 N1,40000
A202,"Water, gas, electricity and heating",2007 N2,40000
A203,Cleaning and maintenance,2005,25000
A203,Cleaning and maintenance,2006,30000
A203,Cleaning and maintenance,2007,45000
A203,Cleaning and maintenance,2007 N1,45000
A204,Furnishing of premises,2005,55000
A204,Furnishing of premises,2006,100000
A204,Furnishing of premises,2007,150000
A204,Furnishing of premises,2007 N1,150000
A205,Security of buildings and persons,2005,235000
A205,Security of buildings and persons,2006,100000
